Province,Date,Confirmed cases,New,Deaths,Recovered
Alger,10 February 2021,16704,,,
Alger,11 February 2021,16741,,,
Alger,12 February 2021,16796,,,
Alger,13 February 2021,16823,,,
Alger,14 February 2021,16870,,,
Alger,15 February 2021,16905,,,
Alger,16 February 2021,16930,,,
Alger,17 February 2021,16969,,,
Alger,18 February 2021,16995,,,
Alger,19 February 2021,17025,,,
Alger,20 February 2021,17043,,,
Alger,21 February 2021,17065,,,
Alger,22 February 2021,17094,,,
Alger,23 February 2021,17126,,,
Alger,24 February 2021,17161,,,
Alger,25 February 2021,17190,,,
Alger,26 February 2021,17215,,,
Alger,27 February 2021,17240,,,
Alger,28 February 2021,17258,,,
Alger,01 March 2021,17312,,,
Alger,02 March 2021,17344,,,
Alger,03 March 2021,17378,,,
Alger,04 March 2021,17415,,,
Alger,05 March 2021,17454,,,
Alger,06 March 2021,17454,,,
Alger,07 March 2021,17469,,,
Alger,08 March 2021,17514,,,
Alger,09 March 2021,17538,,,
Alger,10 March 2021,17576,,,
Alger,11 March 2021,17607,,,
Alger,12 March 2021,17642,,,
Alger,13 March 2021,17667,,,
Alger,14 March 2021,17685,,,
Alger,15 March 2021,17703,,,
Alger,16 March 2021,17737,,,
Alger,17 March 2021,17790,,,
Alger,18 March 2021,17851,,,
Alger,19 March 2021,17884,,,
Alger,20 March 2021,17901,,,
Alger,21 March 2021,17922,,,
Alger,22 March 2021,17939,,,
Alger,23 March 2021,17961,,,
Alger,24 March 2021,17974,,,
Alger,25 March 2021,17996,,,
Alger,26 March 2021,18024,,,
Alger,27 March 2021,18035,,,
Alger,28 March 2021,18054,,,
Alger,29 March 2021,18086,,,
Alger,30 March 2021,18117,,,
Alger,31 March 2021,18144,,,
Alger,01 April 2021,18172,,,
Alger,02 April 2021,18197,,,
Alger,03 April 2021,18215,,,
Alger,04 April 2021,18253,,,
Alger,05 April 2021,18284,,,
Alger,06 April 2021,18304,,,
Alger,07 April 2021,18331,,,
Alger,08 April 2021,18362,,,
Alger,09 April 2021,18386,,,
Alger,10 April 2021,18407,,,
Alger,11 April 2021,18439,,,
Alger,12 April 2021,18463,,,
Alger,13 April 2021,18502,,,
Alger,14 April 2021,18524,,,
Alger,15 April 2021,18561,,,
Alger,16 April 2021,18612,,,
Alger,17 April 2021,18641,,,
Alger,18 April 2021,18661,,,
Alger,19 April 2021,18702,,,
Alger,20 April 2021,18746,,,
Alger,21 April 2021,18792,,,
Alger,22 April 2021,18841,,,
Alger,23 April 2021,18900,,,
Alger,24 April 2021,18930,,,
Alger,25 April 2021,18965,,,
Alger,26 April 2021,19032,,,
Alger,27 April 2021,19074,,,
Alger,28 April 2021,19147,,,
Alger,29 April 2021,19213,,,
Alger,30 April 2021,19267,,,
Alger,01 May 2021,19294,,,
Alger,02 May 2021,19320,,,
Alger,03 May 2021,19358,,,
Alger,04 May 2021,19422,,,
Alger,05 May 2021,19479,,,
Alger,06 May 2021,19522,,,
Alger,07 May 2021,19554,,,
Alger,08 May 2021,19582,,,
Alger,09 May 2021,19643,,,
Alger,10 May 2021,19721,,,
Alger,11 May 2021,19786,,,
Oran,31 March 2020,44,,,
